ID,Answer,Prob1,Prob2,Prob3,Prob4,Prob5
1,3,0.1731007695198059,0.14324524998664856,0.3827556371688843,0.15882045030593872,0.14207790791988373
2,1,0.36079588532447815,0.11211401224136353,0.2673341929912567,0.1605054885149002,0.09925038367509842
3,3,0.22569909691810608,0.10324200242757797,0.2830522954463959,0.28181326389312744,0.10619335621595383
4,2,0.09701326489448547,0.723297655582428,0.060057394206523895,0.0836428701877594,0.03598886355757713
5,3,0.09441663324832916,0.10158427804708481,0.4317828118801117,0.25644877552986145,0.11576759070158005
6,1,0.3419173061847687,0.27108234167099,0.1561654657125473,0.12549982964992523,0.1053350642323494
7,2,0.10552452504634857,0.597953200340271,0.0730864480137825,0.16809602081775665,0.0553397461771965
8,1,0.31332921981811523,0.19097045063972473,0.19379261136054993,0.19819793105125427,0.10370982438325882
9,2,0.10714506357908249,0.5993837118148804,0.1385602355003357,0.10192826390266418,0.05298271402716637
10,2,0.18698516488075256,0.30197077989578247,0.15939366817474365,0.2191433161497116,0.13250701129436493
11,3,0.3113260269165039,0.09543982148170471,0.3377925455570221,0.12919750809669495,0.12624412775039673
12,1,0.43059438467025757,0.1655273735523224,0.20551030337810516,0.10361912101507187,0.09474887698888779
13,3,0.019198307767510414,0.03220735117793083,0.8916200995445251,0.03867625072598457,0.01829790510237217
14,2,0.1470983773469925,0.5141881704330444,0.13852304220199585,0.12202072143554688,0.07816963642835617
15,3,0.06212688982486725,0.2260933369398117,0.5534577369689941,0.10787075757980347,0.05045120418071747
16,1,0.6711843609809875,0.0884845033288002,0.08103595674037933,0.08036081492900848,0.07893437147140503
17,1,0.26239025592803955,0.2358016073703766,0.2107493281364441,0.20149235427379608,0.08956640958786011
18,1,0.41536423563957214,0.3740028738975525,0.05747194215655327,0.11713417619466782,0.036026742309331894
19,2,0.10147743672132492,0.3559189736843109,0.13897264003753662,0.33351561427116394,0.0701153501868248
20,2,0.18615345656871796,0.649348258972168,0.06809596717357635,0.05926114320755005,0.03714118152856827
21,4,0.251377671957016,0.037650108337402344,0.061822179704904556,0.61271071434021,0.036439381539821625
22,4,0.2709805965423584,0.1839037537574768,0.1378353089094162,0.34420859813690186,0.06307178735733032
23,4,0.23319365084171295,0.2577158510684967,0.14117200672626495,0.2665477395057678,0.10137078911066055
24,3,0.20758266746997833,0.08253049850463867,0.5744578242301941,0.10742434114217758,0.028004707768559456
25,2,0.16378405690193176,0.5666661262512207,0.07914548367261887,0.13416530191898346,0.05623892694711685
26,3,0.08103622496128082,0.05193552374839783,0.779620885848999,0.05652990937232971,0.03087739646434784
27,2,0.0763426423072815,0.6230248808860779,0.16781078279018402,0.091006800532341,0.0418148897588253
28,2,0.1314454823732376,0.6132176518440247,0.07638037949800491,0.1502092331647873,0.02874729037284851
29,2,0.02131211943924427,0.5808325409889221,0.015958432108163834,0.3763616979122162,0.0055351583287119865
30,2,0.07695312052965164,0.6884877681732178,0.09362412244081497,0.12547267973423004,0.015462263487279415
31,3,0.053822100162506104,0.21808110177516937,0.3795444965362549,0.29086339473724365,0.057688966393470764
32,1,0.8694000244140625,0.07843019813299179,0.0313882976770401,0.013141777366399765,0.007639674469828606
33,3,0.0646103173494339,0.0499734953045845,0.7175796031951904,0.09244582056999207,0.0753907561302185
34,2,0.14139075577259064,0.6209577918052673,0.12032996118068695,0.06038021296262741,0.0569411963224411
35,2,0.0022153554018586874,0.9839707016944885,0.009665686637163162,0.002603675704449415,0.0015446083853021264
36,1,0.29799211025238037,0.11281397193670273,0.1964063048362732,0.2560894191265106,0.1366981714963913
37,1,0.4607677757740021,0.06329970061779022,0.06000152602791786,0.36819103360176086,0.047740016132593155
38,2,0.18233029544353485,0.6679542660713196,0.07079684734344482,0.034878265112638474,0.044040314853191376
39,3,0.18245075643062592,0.059279173612594604,0.5973788499832153,0.14841468632221222,0.012476601637899876
40,4,0.34010422229766846,0.2609127163887024,0.03187234327197075,0.36018601059913635,0.0069246976636350155
41,1,0.41536760330200195,0.20466822385787964,0.19540299475193024,0.15609729290008545,0.02846391312777996
42,2,0.061300233006477356,0.6119515299797058,0.17265479266643524,0.11440660059452057,0.039686840027570724
43,2,0.23758354783058167,0.44324585795402527,0.20114822685718536,0.05908713489770889,0.05893523991107941
44,4,0.35407131910324097,0.09651590883731842,0.0572633221745491,0.4375888407230377,0.054560624063014984
45,4,0.18798334896564484,0.1906909942626953,0.19871234893798828,0.2486950159072876,0.17391836643218994
46,4,0.24506238102912903,0.16070769727230072,0.12925399839878082,0.42653679847717285,0.03843908756971359
47,2,0.30433744192123413,0.3326353132724762,0.1807895451784134,0.09806202352046967,0.08417567610740662
48,3,0.3001038134098053,0.27352190017700195,0.33625727891921997,0.08107444643974304,0.009042571298778057
49,1,0.3801635801792145,0.2785559594631195,0.150713711977005,0.0939667820930481,0.09659995883703232
50,3,0.242303729057312,0.11798624694347382,0.569547176361084,0.057287637144327164,0.012875184416770935
51,2,0.03692498803138733,0.5971770882606506,0.13119541108608246,0.23162326216697693,0.0030792884062975645
52,2,0.06752268224954605,0.8523867130279541,0.010531414300203323,0.05750713869929314,0.01205199584364891
53,3,0.2190508246421814,0.17274697124958038,0.33665576577186584,0.23142966628074646,0.04011679068207741
54,4,0.2296174168586731,0.1590162217617035,0.16603150963783264,0.34382423758506775,0.10151059180498123
55,1,0.45077088475227356,0.1171155720949173,0.15877510607242584,0.15216492116451263,0.12117353826761246
56,2,0.06998714059591293,0.8479576706886292,0.045681387186050415,0.01719103381037712,0.01918279379606247
57,4,0.19617463648319244,0.12924183905124664,0.2963601052761078,0.34446683526039124,0.03375663980841637
58,1,0.4433099031448364,0.20360171794891357,0.09107165038585663,0.20477193593978882,0.05724477767944336
59,2,0.1972351223230362,0.3024410605430603,0.3024410605430603,0.1775025725364685,0.020380213856697083
60,3,0.03258393332362175,0.03732319548726082,0.5202881097793579,0.3807096481323242,0.029095066711306572
61,1,0.2974698841571808,0.2817513644695282,0.11095693707466125,0.23349769413471222,0.07632406055927277
62,3,0.0693037137389183,0.04208936542272568,0.6726963520050049,0.19010916352272034,0.025801420211791992
63,1,0.4751341938972473,0.16978712379932404,0.24128635227680206,0.04861099272966385,0.06518139690160751
64,4,0.10171782225370407,0.16589055955410004,0.0867687463760376,0.6323433518409729,0.013279561884701252
65,2,0.14010566473007202,0.37919098138809204,0.1369035243988037,0.22719630599021912,0.1166035458445549
66,2,0.19253070652484894,0.3069830536842346,0.19689728319644928,0.21938452124595642,0.08420449495315552
67,2,0.36787307262420654,0.5328471660614014,0.028622478246688843,0.06794954091310501,0.0027078164275735617
68,2,0.1128053069114685,0.36763718724250793,0.2228120118379593,0.20797009766101837,0.08877542614936829
69,2,0.09478704631328583,0.566694438457489,0.16399763524532318,0.14403946697711945,0.030481424182653427
70,3,0.017707539722323418,0.030268965288996696,0.8600737452507019,0.06788353621959686,0.024066274985671043
71,2,0.2063327431678772,0.5018476247787476,0.16471433639526367,0.09449309855699539,0.032612212002277374
72,4,0.17737697064876556,0.20031912624835968,0.16695450246334076,0.2371283322572708,0.21822108328342438
73,4,0.022111566737294197,0.02558678388595581,0.0886448323726654,0.8333358764648438,0.030320927500724792
74,2,0.07140357792377472,0.7826449871063232,0.02091292478144169,0.10009706765413284,0.024941379204392433
75,4,0.21039420366287231,0.1323859840631485,0.1417245864868164,0.41367095708847046,0.10182434320449829
76,3,0.11084356158971786,0.21269330382347107,0.43444544076919556,0.2022751420736313,0.03974255546927452
77,2,0.0757695734500885,0.3670960068702698,0.359621524810791,0.15087948739528656,0.04663335531949997
78,4,0.23121654987335205,0.04007784649729729,0.04350440204143524,0.6507670879364014,0.034434184432029724
79,2,0.07918959110975266,0.5848763585090637,0.19914905726909637,0.08547240495681763,0.051312558352947235
80,2,0.10844950377941132,0.6386995911598206,0.10844950377941132,0.10844950377941132,0.03595186769962311
81,4,0.16059964895248413,0.15160946547985077,0.15932144224643707,0.48600608110427856,0.04246339574456215
82,2,0.07179242372512817,0.48558101058006287,0.016022462397813797,0.4127095937728882,0.013894499279558659
83,4,0.019819995388388634,0.026527194306254387,0.04355766996741295,0.8930120468139648,0.017083093523979187
84,4,0.037243328988552094,0.12936590611934662,0.02855067327618599,0.7640746235847473,0.040765430778265
85,3,0.28065529465675354,0.19404342770576477,0.29448404908180237,0.174642413854599,0.05617472901940346
86,4,0.10395652055740356,0.10395652055740356,0.0237781573086977,0.7444441914558411,0.02386455237865448
87,4,0.07439844310283661,0.0776333436369896,0.2595209777355194,0.5715088248252869,0.016938401386141777
88,4,0.0787578597664833,0.40863534808158875,0.02921895496547222,0.4590277373790741,0.024360138922929764
89,2,0.20914477109909058,0.36542922258377075,0.36542922258377075,0.03906284272670746,0.02093399129807949
90,4,0.2482789009809494,0.07322757691144943,0.051813144236803055,0.5869653820991516,0.039714980870485306
