ID,Answer
1,3
2,1
3,4
4,4
5,4
6,2
7,1
8,1
9,1
10,1
11,3
12,1
13,3
14,2
15,2
16,4
17,2
18,3
19,4
20,3
21,1
22,4
23,4
24,3
25,2
26,1
27,4
28,1
29,2
30,1
31,2
32,1
33,2
34,1
35,4
36,3
37,4
38,1
39,2
40,4
41,2
42,4
43,4
44,1
45,4
46,2
47,4
48,3
49,3
50,1
51,1
52,1
53,4
54,1
55,3
56,4
57,1
58,2
59,1
60,2
61,3
62,1
63,4
64,2
65,1
66,1
67,3
68,1
69,3
70,4
71,1
72,3
73,1
74,2
75,3
76,3
77,2
78,3
79,4
80,3
81,1
82,3
83,4
84,4
85,4
86,1
87,1
88,3
89,3
90,1
91,2
92,1
93,1
94,2
95,3
96,2
97,4
98,3
99,3
100,4
101,3
102,3
103,3
104,4
105,1
106,1
107,2
108,3
109,3
110,2
111,1
112,1
113,2
114,4
115,1
116,2
117,2
118,3
119,2
120,2
121,1
122,3
123,4
124,1
125,3
126,1
127,2
128,3
129,4
130,3
131,4
132,2
133,2
134,1
135,3
136,3
137,4
138,3
139,4
140,1
141,1
142,3
143,4
144,3
145,4
146,2
147,2
148,4
149,1
150,2
151,3
152,3
153,2
154,1
155,2
156,4
157,4
158,1
159,1
160,4
161,2
162,2
163,2
164,4
165,4
166,3
167,4
168,1
169,1
170,4
171,3
172,1
173,2
174,4
175,1
176,2
177,2
178,3
179,1
180,1
181,3
182,3
183,1
184,4
185,3
186,1
187,2
188,1
189,3
190,2
191,1
192,4
193,4
194,3
195,4
196,4
197,2
198,4
199,3
200,1
201,3
202,3
203,4
204,1
205,2
206,3
207,1
208,2
209,4
210,3
211,1
212,2
213,2
214,4
215,2
216,2
217,2
218,4
219,4
220,4
221,3
222,1
223,4
224,4
225,3
226,4
227,1
228,1
229,4
230,2
231,1
232,1
233,1
234,1
235,1
236,2
237,1
238,1
239,2
240,2
241,4
242,2
243,3
244,3
245,4
246,4
247,2
248,3
249,4
250,2
251,1
252,3
253,4
254,1
255,3
256,3
257,4
258,4
259,3
260,3
261,1
262,4
263,1
264,4
265,3
266,4
267,4
268,1
269,4
270,1
271,3
272,3
273,4
274,1
275,1
276,1
277,1
278,3
279,1
280,3
281,4
282,4
283,2
284,4
285,4
286,2
287,4
288,1
289,4
290,3
291,1
292,2
293,3
294,4
295,4
296,1
297,3
298,4
299,4
300,1
301,4
302,3
303,4
304,3
305,2
306,3
307,3
308,2
309,1
310,3
311,1
312,2
313,2
314,4
315,1
316,2
317,4
318,1
319,4
320,1
321,4
322,2
323,1
324,3
325,4
326,1
327,4
328,4
329,2
330,4
331,3
332,4
333,4
334,1
335,2
336,1
337,4
338,1
339,4
340,4
341,1
342,1
343,1
344,2
345,3
346,1
347,2
348,4
349,4
350,1
351,3
352,1
353,1
354,4
355,2
356,4
357,1
358,3
359,3
360,1
361,3
362,3
363,1
364,3
365,3
366,3
367,1
368,2
369,3
370,4
371,1
372,1
373,4
374,3
375,4
376,4
377,1
378,1
379,4
380,2
381,1
382,2
383,2
384,4
385,1
386,4
387,4
388,3
389,1
390,4
391,1
392,1
393,2
394,3
395,1
396,2
397,3
398,3
399,1
400,3
401,2
402,3
403,4
404,1
405,4
406,1
407,1
408,4
409,1
410,3
411,4
412,2
413,2
414,2
415,1
416,1
417,2
418,3
419,3
420,4
421,2
422,2
423,3
424,1
425,3
426,1
427,4
428,2
429,4
430,3
431,2
432,1
433,1
434,3
435,1
436,1
437,2
438,1
439,3
440,2
441,3
442,3
443,2
444,2
445,1
446,1
447,4
448,1
449,1
450,2
451,1
452,3
453,1
454,1
455,3
456,3
457,1
458,1
459,1
460,1
461,3
462,1
